TIME_STAMPING,PACKET_COUNT,GNSS_SPEED,GNSS_LATITUDE,GNSS_LONGITUDE,GNSS_ALTITUDE,GNSS_SATS,VOLTAGE,VIBRATION,EULERX,EULERY,EULERZ ,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,BNO_TEMPERATURE,MAGNETOMETER_X,MAGNETOMETER_Y,MAGNETOMETER_Z,LINEAR_ACCELERATION_X,LINEAR_ACCELERATION_Y,LINEAR_ACCELERATION_Z,GRAVITY_X,GRAVITY_Y,GRAVITY_Z,ALTITUDE,TEMPERATURE,PRESSURE,CM_ECHO,Unnamed: 32
1702453092.8517964,60,0.0,0.0,0.0,0.0,0,16.39,0,73.94,10.5,5.88,73.94,10.5,5.88,-10.06,-5.31,5.25,25.0,37.19,-6.75,-49.0,1.66,-0.94,9.51,73.94,10.5,5.88,222.37,26.77,986.82,time,
1702453093.111558,61,0.0,0.0,0.0,0.0,0,16.39,0,73.56,9.5,6.88,73.56,9.5,6.88,0.0,1.19,-0.62,25.0,37.5,-5.75,-47.88,1.71,-1.08,9.64,73.56,9.5,6.88,222.25,26.77,986.84,time,
1702453093.3755548,62,0.0,0.0,0.0,0.0,0,16.39,0,73.38,9.0,6.69,73.38,9.0,6.69,0.81,4.81,1.75,25.0,37.19,-6.06,-49.0,1.67,-1.13,9.62,73.38,9.0,6.69,222.34,26.78,986.83,time,
1702453093.6385565,63,0.0,0.0,0.0,0.0,0,16.39,0,73.62,8.81,6.19,73.62,8.81,6.19,2.5,-3.44,-3.56,25.0,38.19,-7.19,-49.5,1.55,-0.93,9.51,73.62,8.81,6.19,222.27,26.78,986.84,time,
1702453093.900561,64,0.0,0.0,0.0,0.0,0,16.39,0,73.38,8.88,5.5,73.38,8.88,5.5,1.81,-1.88,3.0,25.0,38.19,-7.56,-47.88,1.45,-0.74,9.66,73.38,8.88,5.5,222.34,26.78,986.83,time,
1702453094.16506,65,0.0,0.0,0.0,0.0,0,16.39,0,73.12,10.06,4.81,73.12,10.06,4.81,2.81,-0.62,0.06,25.0,36.0,-8.69,-50.38,1.63,-0.81,9.28,73.12,10.06,4.81,222.27,26.78,986.84,time,
1702453094.427531,66,0.0,0.0,0.0,0.0,0,16.39,0,74.06,9.44,4.31,74.06,9.44,4.31,0.94,0.31,-15.81,25.0,37.5,-8.69,-48.75,1.3,-0.62,9.36,74.06,9.44,4.31,222.3,26.78,986.83,time,
1702453094.6966438,67,0.0,0.0,0.0,0.0,0,16.37,0,79.88,8.94,3.0,79.88,8.94,3.0,-3.12,3.75,-25.06,25.0,37.5,-5.75,-48.38,1.4,-0.49,9.78,79.88,8.94,3.0,222.38,26.78,986.82,time,
1702453094.9686394,68,0.0,0.0,0.0,0.0,0,16.39,0,87.12,7.62,4.5,87.12,7.62,4.5,-8.12,13.81,-18.56,25.0,37.56,1.25,-47.56,1.35,-0.3,10.15,87.12,7.62,4.5,222.24,26.79,986.84,time,
1702453095.2246375,69,0.0,0.0,0.0,0.0,0,16.37,0,91.62,10.06,5.0,91.62,10.06,5.0,4.12,-26.69,-22.69,25.0,37.69,6.69,-48.5,1.42,-0.63,9.33,91.62,10.06,5.0,222.16,26.79,986.85,time,
1702453095.4932697,70,0.0,0.0,0.0,0.0,0,16.39,0,93.81,13.0,2.88,93.81,13.0,2.88,10.25,10.31,-6.31,25.0,32.88,6.5,-51.69,2.79,0.19,9.47,93.81,13.0,2.88,222.32,26.79,986.83,time,
1702453095.760274,71,0.0,0.0,0.0,0.0,0,16.39,0,93.19,11.0,1.81,93.19,11.0,1.81,-7.56,-1.75,-5.75,25.0,35.88,5.38,-50.69,2.18,-0.73,10.48,93.19,11.0,1.81,222.36,26.79,986.83,time,
1702453096.026503,72,0.0,0.0,0.0,0.0,0,16.39,0,95.88,13.06,3.25,95.88,13.06,3.25,1.5,-6.19,-12.56,25.0,34.38,8.0,-50.69,1.96,-0.87,9.29,95.88,13.06,3.25,222.21,26.79,986.84,time,
